Path specified: /test/u0/
Net 		Stat_Prob	TC	TotSimPeriod
n4831 	 0.885 		 60 	 5000  
n4832 	 0.875 		 62 	 5000  
n4833 	 0.008 		 8 	 5000  
n4834 	 0.0 		 0 	 5000  
n4835 	 0.947 		 0 	 5000  
n4836 	 0.947 		 0 	 5000  
n4837 	 0.829 		 100 	 5000  
n4838 	 0.891 		 50 	 5000  
n4839 	 0.004 		 4 	 5000  
n4840 	 0.002 		 2 	 5000  
n4841 	 0.943 		 4 	 5000  
n4842 	 0.937 		 10 	 5000  
n4843 	 0.879 		 64 	 5000  
n4844 	 0.47 		 253 	 5000  
n4845 	 0.479 		 0 	 5000  
n4846 	 0.515 		 26 	 5000  
n4847 	 0.49 		 0 	 5000  
n4848 	 0.49 		 0 	 5000  
n4849 	 0.042 		 34 	 5000  
n4850 	 0.014 		 14 	 5000  
n4851 	 0.523 		 78 	 5000  
n4852 	 0.934 		 11 	 5000  
n4853 	 0.012 		 10 	 5000  
n4854 	 0.883 		 58 	 5000  
n4855 	 0.937 		 8 	 5000  
n4856 	 0.885 		 52 	 5000  
n4857 	 0.881 		 60 	 5000  
n4858 	 0.038 		 32 	 5000  
n4859 	 0.016 		 16 	 5000  
n4860 	 0.03 		 26 	 5000  
n4861 	 0.755 		 110 	 5000  
n4862 	 0.927 		 18 	 5000  
n4863 	 0.014 		 12 	 5000  
n4864 	 0.886 		 57 	 5000  
n4865 	 0.903 		 40 	 5000  
n4866 	 0.889 		 56 	 5000  
n4867 	 0.887 		 56 	 5000  
n4868 	 0.092 		 73 	 5000  
n4869 	 0.04 		 36 	 5000  
n4870 	 0.863 		 78 	 5000  
n4871 	 0.869 		 68 	 5000  
n4872 	 0.002 		 2 	 5000  
n4873 	 0.008 		 8 	 5000  
n4874 	 0.947 		 0 	 5000  
n4875 	 0.927 		 18 	 5000  
n4876 	 0.107 		 89 	 5000  
n4877 	 0.006 		 6 	 5000  
n4878 	 0.887 		 58 	 5000  
n4879 	 0.0 		 0 	 5000  
n4880 	 0.002 		 2 	 5000  
n4881 	 0.939 		 8 	 5000  
n4882 	 0.941 		 6 	 5000  
n4883 	 0.002 		 2 	 5000  
n4884 	 0.002 		 2 	 5000  
n4885 	 0.002 		 2 	 5000  
n4886 	 0.124 		 105 	 5000  
n4887 	 0.012 		 10 	 5000  
n4888 	 0.01 		 10 	 5000  
n4889 	 0.943 		 4 	 5000  
n4890 	 0.931 		 15 	 5000  
n4891 	 0.108 		 98 	 5000  
n4892 	 0.891 		 52 	 5000  
n4893 	 0.02 		 20 	 5000  
n4894 	 0.04 		 38 	 5000  
n4895 	 0.539 		 170 	 5000  
n4896 	 0.921 		 25 	 5000  
n4897 	 0.02 		 19 	 5000  
n4898 	 0.118 		 96 	 5000  
n4899 	 0.006 		 6 	 5000  
n4900 	 0.014 		 14 	 5000  
n4901 	 0.779 		 136 	 5000  
n4902 	 0.903 		 42 	 5000  
n4903 	 0.937 		 10 	 5000  
n4904 	 0.937 		 10 	 5000  
n4905 	 0.022 		 22 	 5000  
n4906 	 0.002 		 2 	 5000  
n4907 	 0.0 		 0 	 5000  
n4908 	 0.004 		 4 	 5000  
n4909 	 0.945 		 2 	 5000  
n4910 	 0.931 		 16 	 5000  
n4911 	 0.004 		 4 	 5000  
n4912 	 0.008 		 8 	 5000  
n4913 	 0.004 		 4 	 5000  
n4914 	 0.0 		 0 	 5000  
n4915 	 0.004 		 4 	 5000  
n4916 	 0.006 		 6 	 5000  
n4917 	 0.937 		 10 	 5000  
n4918 	 0.01 		 10 	 5000  
n4919 	 0.022 		 22 	 5000  
n4920 	 0.939 		 8 	 5000  
n4921 	 0.931 		 16 	 5000  
n4922 	 0.941 		 6 	 5000  
n4923 	 0.941 		 6 	 5000  
n4924 	 0.002 		 2 	 5000  
n4925 	 0.002 		 2 	 5000  
n4926 	 0.943 		 4 	 5000  
n4927 	 0.0 		 0 	 5000  
n4928 	 0.004 		 4 	 5000  
n4929 	 0.931 		 16 	 5000  
n4930 	 0.891 		 54 	 5000  
n4931 	 0.002 		 2 	 5000  
n4932 	 0.002 		 2 	 5000  
n4933 	 0.943 		 4 	 5000  
n4934 	 0.945 		 2 	 5000  
n4935 	 0.016 		 16 	 5000  
n4936 	 0.008 		 8 	 5000  
n4937 	 0.927 		 20 	 5000  
n4938 	 0.933 		 14 	 5000  
n4939 	 0.945 		 2 	 5000  
n4940 	 0.006 		 6 	 5000  
n4941 	 0.006 		 6 	 5000  
n4942 	 0.006 		 6 	 5000  
n4943 	 0.004 		 4 	 5000  
n4944 	 0.004 		 4 	 5000  
n4945 	 0.002 		 2 	 5000  
n4946 	 0.002 		 2 	 5000  
n4947 	 0.939 		 8 	 5000  
n4948 	 0.933 		 14 	 5000  
n4949 	 0.012 		 10 	 5000  
n4950 	 0.01 		 10 	 5000  
n4951 	 0.945 		 2 	 5000  
n4952 	 0.945 		 2 	 5000  
n4953 	 0.941 		 6 	 5000  
n4954 	 0.004 		 4 	 5000  
n4955 	 0.941 		 6 	 5000  
n4956 	 0.945 		 2 	 5000  
n4957 	 0.945 		 2 	 5000  
n4958 	 0.002 		 2 	 5000  
n4959 	 0.01 		 10 	 5000  
n4960 	 0.006 		 6 	 5000  
n4961 	 0.002 		 2 	 5000  
n4962 	 0.941 		 6 	 5000  
n4963 	 0.875 		 66 	 5000  
n4964 	 0.891 		 54 	 5000  
n4965 	 0.014 		 14 	 5000  
n4966 	 0.012 		 12 	 5000  
n4967 	 0.935 		 12 	 5000  
n4968 	 0.933 		 14 	 5000  
n4969 	 0.939 		 8 	 5000  
n4970 	 0.004 		 4 	 5000  
n4971 	 0.002 		 2 	 5000  
n4972 	 0.006 		 6 	 5000  
n4973 	 0.006 		 6 	 5000  
n4974 	 0.0 		 0 	 5000  
n4975 	 0.004 		 4 	 5000  
n4976 	 0.006 		 6 	 5000  
n4977 	 0.923 		 22 	 5000  
n4978 	 0.933 		 14 	 5000  
n4979 	 0.004 		 4 	 5000  
n4980 	 0.024 		 24 	 5000  
n4981 	 0.002 		 2 	 5000  
n4982 	 0.004 		 4 	 5000  
n4983 	 0.937 		 10 	 5000  
n4984 	 0.939 		 8 	 5000  
n4985 	 0.891 		 52 	 5000  
n4986 	 0.945 		 2 	 5000  
n4987 	 0.004 		 4 	 5000  
n4988 	 0.008 		 8 	 5000  
n4989 	 0.903 		 44 	 5000  
n4990 	 0.927 		 20 	 5000  
n4991 	 0.947 		 0 	 5000  
n4992 	 0.006 		 6 	 5000  
n4993 	 0.032 		 30 	 5000  
n4994 	 0.931 		 16 	 5000  
n4995 	 0.006 		 6 	 5000  
n4996 	 0.939 		 8 	 5000  
n4997 	 0.006 		 6 	 5000  
n4998 	 0.006 		 6 	 5000  
n4999 	 0.935 		 12 	 5000  
n5000 	 0.935 		 12 	 5000  
n5001 	 0.931 		 16 	 5000  
n5002 	 0.102 		 96 	 5000  
n5003 	 0.002 		 2 	 5000  
n5004 	 0.118 		 98 	 5000  
n5005 	 0.008 		 8 	 5000  
n5006 	 0.941 		 6 	 5000  
n5007 	 0.941 		 6 	 5000  
n5008 	 0.002 		 2 	 5000  
n5009 	 0.004 		 4 	 5000  
n5010 	 0.0 		 0 	 5000  
n5011 	 0.03 		 30 	 5000  
n5012 	 0.022 		 22 	 5000  
n5013 	 0.51 		 178 	 5000  
n5014 	 0.919 		 24 	 5000  
n5015 	 0.018 		 14 	 5000  
n5016 	 0.889 		 54 	 5000  
n5017 	 0.933 		 14 	 5000  
n5018 	 0.875 		 68 	 5000  
n5019 	 0.883 		 60 	 5000  
n5020 	 0.058 		 53 	 5000  
n5021 	 0.022 		 22 	 5000  
n5022 	 0.028 		 28 	 5000  
n5023 	 0.772 		 120 	 5000  
n5024 	 0.929 		 18 	 5000  
n5025 	 0.008 		 8 	 5000  
n5026 	 0.883 		 54 	 5000  
n5027 	 0.873 		 66 	 5000  
n5028 	 0.905 		 38 	 5000  
n5029 	 0.887 		 60 	 5000  
n5030 	 0.053 		 43 	 5000  
n5031 	 0.062 		 49 	 5000  
n5032 	 0.9 		 43 	 5000  
n5033 	 0.898 		 41 	 5000  
n5034 	 0.006 		 6 	 5000  
n5035 	 0.004 		 4 	 5000  
n5036 	 0.941 		 6 	 5000  
n5037 	 0.935 		 12 	 5000  
n5038 	 0.114 		 106 	 5000  
n5039 	 0.002 		 2 	 5000  
n5040 	 0.877 		 64 	 5000  
n5041 	 0.0 		 0 	 5000  
n5042 	 0.006 		 6 	 5000  
n5043 	 0.947 		 0 	 5000  
n5044 	 0.931 		 16 	 5000  
n5045 	 0.006 		 6 	 5000  
n5046 	 0.004 		 4 	 5000  
n5047 	 0.006 		 6 	 5000  
n5048 	 0.11 		 94 	 5000  
n5049 	 0.006 		 6 	 5000  
n5050 	 0.002 		 2 	 5000  
n5051 	 0.937 		 10 	 5000  
n5052 	 0.935 		 12 	 5000  
n5053 	 0.134 		 116 	 5000  
n5054 	 0.889 		 58 	 5000  
n5055 	 0.04 		 38 	 5000  
n5056 	 0.028 		 26 	 5000  
n5057 	 0.625 		 119 	 5000  
n5058 	 0.843 		 88 	 5000  
n5059 	 0.006 		 6 	 5000  
n5060 	 0.038 		 38 	 5000  
n5061 	 0.06 		 56 	 5000  
n5062 	 0.891 		 50 	 5000  
n5063 	 0.886 		 55 	 5000  
n5064 	 0.931 		 16 	 5000  
n5065 	 0.008 		 8 	 5000  
n5066 	 0.016 		 16 	 5000  
n5067 	 0.777 		 111 	 5000  
n5068 	 0.887 		 56 	 5000  
n5069 	 0.929 		 18 	 5000  
n5070 	 0.937 		 10 	 5000  
n5071 	 0.016 		 14 	 5000  
n5072 	 0.016 		 14 	 5000  
n5073 	 0.935 		 12 	 5000  
n5074 	 0.008 		 8 	 5000  
n5075 	 0.945 		 2 	 5000  
n5076 	 0.941 		 6 	 5000  
n5077 	 0.004 		 4 	 5000  
n5078 	 0.0 		 0 	 5000  
n5079 	 0.006 		 6 	 5000  
n5080 	 0.004 		 4 	 5000  
n5081 	 0.004 		 4 	 5000  
n5082 	 0.01 		 10 	 5000  
n5083 	 0.146 		 113 	 5000  
n5084 	 0.012 		 12 	 5000  
n5085 	 0.042 		 36 	 5000  
n5086 	 0.883 		 58 	 5000  
n5087 	 0.907 		 38 	 5000  
n5088 	 0.004 		 4 	 5000  
n5089 	 0.006 		 6 	 5000  
n5090 	 0.859 		 86 	 5000  
n5091 	 0.879 		 60 	 5000  
n5092 	 0.871 		 70 	 5000  
n5093 	 0.891 		 54 	 5000  
n5094 	 0.891 		 54 	 5000  
n5095 	 0.885 		 54 	 5000  
n5096 	 0.909 		 36 	 5000  
n5097 	 0.911 		 36 	 5000  
n5098 	 0.887 		 58 	 5000  
n5099 	 0.889 		 50 	 5000  
n5100 	 0.887 		 56 	 5000  
n5101 	 0.941 		 6 	 5000  
n5102 	 0.004 		 4 	 5000  
n5103 	 0.042 		 40 	 5000  
n5104 	 0.929 		 18 	 5000  
n5105 	 0.839 		 103 	 5000  
n5106 	 0.01 		 10 	 5000  
n5107 	 0.006 		 6 	 5000  
n5108 	 0.939 		 8 	 5000  
n5109 	 0.931 		 14 	 5000  
n5110 	 0.008 		 8 	 5000  
n5112 	 0.438 		 238 	 5000  
n5113 	 0.466 		 0 	 5000  
n5114 	 0.501 		 1 	 5000  
n5115 	 0.428 		 0 	 5000  
n5116 	 0.014 		 14 	 5000  
n5117 	 0.454 		 203 	 5000  
n5118 	 0.921 		 22 	 5000  
n5119 	 0.929 		 18 	 5000  
n5120 	 0.089 		 78 	 5000  
n5121 	 0.012 		 12 	 5000  
n5122 	 0.204 		 168 	 5000  
n5123 	 0.108 		 95 	 5000  
n5124 	 0.072 		 70 	 5000  
n5125 	 0.056 		 54 	 5000  
n5126 	 0.891 		 52 	 5000  
n5127 	 0.677 		 175 	 5000  
n5128 	 0.893 		 52 	 5000  
n5129 	 0.867 		 66 	 5000  
n5130 	 0.913 		 28 	 5000  
n5131 	 0.348 		 104 	 5000  
n5132 	 0.016 		 15 	 5000  
n5133 	 0.012 		 12 	 5000  
n5134 	 0.895 		 44 	 5000  
n5135 	 0.917 		 24 	 5000  
n5136 	 0.939 		 8 	 5000  
n5137 	 0.028 		 28 	 5000  
n5138 	 0.16 		 116 	 5000  
n5139 	 0.036 		 36 	 5000  
n5140 	 0.939 		 8 	 5000  
n5141 	 0.885 		 56 	 5000  
n5142 	 0.024 		 24 	 5000  
n5143 	 0.014 		 14 	 5000  
n5144 	 0.937 		 10 	 5000  
n5145 	 0.941 		 6 	 5000  
n5146 	 0.943 		 4 	 5000  
n5147 	 0.947 		 0 	 5000  
n5148 	 0.002 		 2 	 5000  
n5149 	 0.0 		 0 	 5000  
n5150 	 0.947 		 0 	 5000  
n5151 	 0.943 		 4 	 5000  
n5152 	 0.002 		 2 	 5000  
n5153 	 0.004 		 4 	 5000  
n5154 	 0.883 		 58 	 5000  
n5155 	 0.0 		 0 	 5000  
n5156 	 0.937 		 10 	 5000  
n5157 	 0.941 		 6 	 5000  
n5158 	 0.116 		 100 	 5000  
n5159 	 0.947 		 0 	 5000  
n5160 	 0.945 		 2 	 5000  
n5161 	 0.004 		 4 	 5000  
n5162 	 0.002 		 2 	 5000  
n5163 	 0.014 		 14 	 5000  
n5164 	 0.01 		 10 	 5000  
n5165 	 0.006 		 6 	 5000  
n5166 	 0.839 		 92 	 5000  
n5167 	 0.941 		 6 	 5000  
n5168 	 0.833 		 98 	 5000  
n5169 	 0.837 		 88 	 5000  
n5170 	 0.01 		 10 	 5000  
n5171 	 0.018 		 14 	 5000  
n5172 	 0.929 		 14 	 5000  
n5173 	 0.935 		 12 	 5000  
n5174 	 0.01 		 10 	 5000  
n5175 	 0.0 		 0 	 5000  
n5176 	 0.002 		 2 	 5000  
n5177 	 0.004 		 2 	 5000  
n5178 	 0.885 		 54 	 5000  
n5179 	 0.002 		 2 	 5000  
n5180 	 0.006 		 6 	 5000  
n5181 	 0.943 		 4 	 5000  
n5182 	 0.941 		 6 	 5000  
n5183 	 0.901 		 46 	 5000  
n5184 	 0.032 		 28 	 5000  
n5185 	 0.923 		 22 	 5000  
n5186 	 0.004 		 4 	 5000  
n5187 	 0.885 		 57 	 5000  
n5188 	 0.07 		 60 	 5000  
n5189 	 0.879 		 62 	 5000  
n5190 	 0.376 		 202 	 5000  
n5191 	 0.014 		 14 	 5000  
n5192 	 0.861 		 74 	 5000  
n5193 	 0.911 		 36 	 5000  
n5194 	 0.026 		 26 	 5000  
n5195 	 0.929 		 18 	 5000  
n5196 	 0.004 		 4 	 5000  
n5197 	 0.899 		 46 	 5000  
n5198 	 0.885 		 58 	 5000  
n5199 	 0.897 		 46 	 5000  
n5200 	 0.07 		 62 	 5000  
n5201 	 0.885 		 58 	 5000  
n5202 	 0.016 		 16 	 5000  
n5203 	 0.889 		 48 	 5000  
n5204 	 0.919 		 24 	 5000  
n5205 	 0.931 		 16 	 5000  
n5206 	 0.02 		 20 	 5000  
n5207 	 0.18 		 138 	 5000  
n5208 	 0.058 		 54 	 5000  
n5209 	 0.931 		 16 	 5000  
n5210 	 0.909 		 34 	 5000  
n5211 	 0.018 		 18 	 5000  
n5212 	 0.018 		 18 	 5000  
n5213 	 0.935 		 12 	 5000  
n5214 	 0.927 		 18 	 5000  
n5215 	 0.941 		 6 	 5000  
n5216 	 0.941 		 6 	 5000  
n5217 	 0.002 		 2 	 5000  
n5218 	 0.006 		 6 	 5000  
n5219 	 0.947 		 0 	 5000  
n5220 	 0.941 		 6 	 5000  
n5221 	 0.006 		 6 	 5000  
n5222 	 0.0 		 0 	 5000  
n5223 	 0.891 		 52 	 5000  
n5224 	 0.004 		 4 	 5000  
n5225 	 0.943 		 4 	 5000  
n5226 	 0.941 		 6 	 5000  
n5227 	 0.124 		 107 	 5000  
n5228 	 0.943 		 4 	 5000  
n5229 	 0.943 		 4 	 5000  
n5230 	 0.006 		 6 	 5000  
n5231 	 0.002 		 2 	 5000  
n5232 	 0.022 		 18 	 5000  
n5233 	 0.0 		 0 	 5000  
n5234 	 0.006 		 6 	 5000  
n5235 	 0.829 		 98 	 5000  
n5236 	 0.933 		 10 	 5000  
n5237 	 0.809 		 124 	 5000  
n5238 	 0.821 		 104 	 5000  
n5239 	 0.008 		 8 	 5000  
n5240 	 0.016 		 16 	 5000  
n5241 	 0.931 		 16 	 5000  
n5242 	 0.929 		 18 	 5000  
n5243 	 0.008 		 8 	 5000  
n5244 	 0.008 		 8 	 5000  
n5245 	 0.002 		 2 	 5000  
n5246 	 0.002 		 2 	 5000  
n5247 	 0.006 		 6 	 5000  
n5248 	 0.002 		 2 	 5000  
n5249 	 0.943 		 4 	 5000  
n5250 	 0.943 		 4 	 5000  
n5251 	 0.639 		 146 	 5000  
n5252 	 0.859 		 61 	 5000  
n5253 	 0.032 		 30 	 5000  
n5254 	 0.01 		 10 	 5000  
n5255 	 0.827 		 104 	 5000  
n5256 	 0.923 		 22 	 5000  
n5257 	 0.02 		 20 	 5000  
n5258 	 0.877 		 68 	 5000  
n5259 	 0.903 		 42 	 5000  
n5260 	 0.943 		 4 	 5000  
n5261 	 0.004 		 4 	 5000  
n5262 	 0.064 		 58 	 5000  
n5263 	 0.02 		 19 	 5000  
n5264 	 0.919 		 26 	 5000  
n5265 	 0.895 		 46 	 5000  
n5266 	 0.018 		 16 	 5000  
n5267 	 0.094 		 74 	 5000  
n5268 	 0.008 		 8 	 5000  
n5269 	 0.865 		 74 	 5000  
n5270 	 0.921 		 22 	 5000  
n5271 	 0.138 		 118 	 5000  
n5272 	 0.016 		 16 	 5000  
n5273 	 0.12 		 104 	 5000  
n5274 	 0.002 		 2 	 5000  
n5275 	 0.006 		 6 	 5000  
n5276 	 0.052 		 50 	 5000  
n5277 	 0.024 		 22 	 5000  
n5278 	 0.006 		 6 	 5000  
n5279 	 0.945 		 2 	 5000  
n5280 	 0.947 		 0 	 5000  
n5281 	 0.0 		 0 	 5000  
n5282 	 0.0 		 0 	 5000  
n5283 	 0.0 		 0 	 5000  
n5284 	 0.058 		 48 	 5000  
n5285 	 0.004 		 4 	 5000  
n5286 	 0.002 		 2 	 5000  
n5287 	 0.004 		 4 	 5000  
n5288 	 0.006 		 6 	 5000  
n5289 	 0.006 		 6 	 5000  
n5290 	 0.0 		 0 	 5000  
n5291 	 0.445 		 231 	 5000  
n5292 	 0.485 		 0 	 5000  
n5293 	 0.475 		 1 	 5000  
n5294 	 0.028 		 28 	 5000  
n5295 	 0.024 		 24 	 5000  
n5296 	 0.839 		 88 	 5000  
n5297 	 0.664 		 144 	 5000  
n5298 	 0.012 		 12 	 5000  
n5299 	 0.05 		 47 	 5000  
n5300 	 0.221 		 133 	 5000  
n5301 	 0.945 		 2 	 5000  
n5302 	 0.937 		 10 	 5000  
n5303 	 0.917 		 26 	 5000  
n5304 	 0.024 		 24 	 5000  
n5305 	 0.891 		 52 	 5000  
n5306 	 0.943 		 4 	 5000  
n5307 	 0.941 		 6 	 5000  
n5308 	 0.002 		 2 	 5000  
n5309 	 0.002 		 2 	 5000  
n5310 	 0.006 		 6 	 5000  
n5311 	 0.0 		 0 	 5000  
n5312 	 0.0 		 0 	 5000  
n5313 	 0.002 		 2 	 5000  
n5314 	 0.012 		 12 	 5000  
n5315 	 0.939 		 8 	 5000  
n5316 	 0.945 		 2 	 5000  
n5317 	 0.002 		 2 	 5000  
n5318 	 0.006 		 6 	 5000  
n5319 	 0.124 		 108 	 5000  
n5320 	 0.939 		 8 	 5000  
n5321 	 0.935 		 12 	 5000  
n5322 	 0.925 		 20 	 5000  
n5323 	 0.014 		 14 	 5000  
n5324 	 0.112 		 94 	 5000  
n5325 	 0.002 		 2 	 5000  
n5326 	 0.006 		 6 	 5000  
n5327 	 0.004 		 4 	 5000  
n5328 	 0.0 		 0 	 5000  
n5329 	 0.004 		 4 	 5000  
n5330 	 0.004 		 4 	 5000  
n5331 	 0.933 		 14 	 5000  
n5332 	 0.004 		 4 	 5000  
n5333 	 0.006 		 6 	 5000  
n5334 	 0.933 		 14 	 5000  
n5335 	 0.943 		 4 	 5000  
n5336 	 0.028 		 26 	 5000  
n5337 	 0.01 		 10 	 5000  
n5338 	 0.785 		 121 	 5000  
n5339 	 0.646 		 181 	 5000  
n5340 	 0.233 		 149 	 5000  
n5341 	 0.064 		 60 	 5000  
n5342 	 0.911 		 31 	 5000  
n5343 	 0.935 		 12 	 5000  
n5344 	 0.002 		 2 	 5000  
n5345 	 0.006 		 6 	 5000  
n5346 	 0.004 		 4 	 5000  
n5347 	 0.885 		 60 	 5000  
n5348 	 0.921 		 23 	 5000  
n5349 	 0.935 		 12 	 5000  
n5350 	 0.925 		 22 	 5000  
n5351 	 0.919 		 23 	 5000  
n5352 	 0.933 		 11 	 5000  
n5353 	 0.941 		 5 	 5000  
n5354 	 0.004 		 4 	 5000  
n5355 	 0.012 		 12 	 5000  
n5356 	 0.006 		 6 	 5000  
n5357 	 0.002 		 2 	 5000  
n5358 	 0.871 		 68 	 5000  
n5359 	 0.0 		 0 	 5000  
n5360 	 0.933 		 10 	 5000  
n5361 	 0.919 		 26 	 5000  
n5362 	 0.024 		 22 	 5000  
n5363 	 0.941 		 6 	 5000  
n5364 	 0.947 		 0 	 5000  
n5365 	 0.008 		 8 	 5000  
n5366 	 0.006 		 6 	 5000  
n5367 	 0.941 		 6 	 5000  
n5368 	 0.927 		 20 	 5000  
n5369 	 0.004 		 4 	 5000  
n5370 	 0.028 		 26 	 5000  
n5371 	 0.014 		 12 	 5000  
n5372 	 0.819 		 86 	 5000  
n5373 	 0.645 		 88 	 5000  
n5374 	 0.236 		 102 	 5000  
n5375 	 0.06 		 48 	 5000  
n5376 	 0.921 		 24 	 5000  
n5377 	 0.939 		 8 	 5000  
n5378 	 0.002 		 2 	 5000  
n5379 	 0.002 		 2 	 5000  
n5380 	 0.004 		 4 	 5000  
n5381 	 0.893 		 52 	 5000  
n5382 	 0.925 		 22 	 5000  
n5383 	 0.935 		 12 	 5000  
n5384 	 0.935 		 12 	 5000  
n5385 	 0.931 		 16 	 5000  
n5386 	 0.937 		 10 	 5000  
n5387 	 0.943 		 4 	 5000  
n5388 	 0.0 		 0 	 5000  
n5389 	 0.012 		 12 	 5000  
n5390 	 0.0 		 0 	 5000  
n5391 	 0.006 		 6 	 5000  
n5392 	 0.889 		 52 	 5000  
n5393 	 0.002 		 2 	 5000  
n5394 	 0.933 		 14 	 5000  
n5395 	 0.917 		 20 	 5000  
n5396 	 0.02 		 16 	 5000  
n5397 	 0.941 		 6 	 5000  
n5398 	 0.945 		 2 	 5000  
n5399 	 0.002 		 2 	 5000  
n5400 	 0.01 		 10 	 5000  
n5401 	 0.937 		 8 	 5000  
n5402 	 0.923 		 22 	 5000  
n5403 	 0.006 		 6 	 5000  
n5404 	 0.842 		 89 	 5000  
n5405 	 0.064 		 54 	 5000  
n5406 	 0.012 		 12 	 5000  
n5407 	 0.014 		 14 	 5000  
n5408 	 0.941 		 6 	 5000  
n5409 	 0.915 		 26 	 5000  
n5410 	 0.919 		 26 	 5000  
n5411 	 0.018 		 18 	 5000  
n5412 	 0.931 		 16 	 5000  
n5413 	 0.947 		 0 	 5000  
n5414 	 0.895 		 48 	 5000  
n5415 	 0.935 		 12 	 5000  
n5416 	 0.002 		 2 	 5000  
n5417 	 0.945 		 2 	 5000  
n5418 	 0.931 		 12 	 5000  
n5419 	 0.919 		 28 	 5000  
n5420 	 0.018 		 18 	 5000  
n5421 	 0.208 		 157 	 5000  
n5422 	 0.885 		 51 	 5000  
n5423 	 0.877 		 64 	 5000  
n5424 	 0.871 		 72 	 5000  
n5425 	 0.074 		 70 	 5000  
n5426 	 0.012 		 12 	 5000  
n5427 	 0.941 		 6 	 5000  
n5428 	 0.915 		 32 	 5000  
n5429 	 0.022 		 22 	 5000  
n5430 	 0.017 		 17 	 5000  
n5431 	 0.935 		 12 	 5000  
n5432 	 0.935 		 10 	 5000  
n5433 	 0.004 		 4 	 5000  
n5434 	 0.941 		 6 	 5000  
n5435 	 0.94 		 7 	 5000  
n5436 	 0.937 		 10 	 5000  
n5437 	 0.941 		 6 	 5000  
n5438 	 0.004 		 4 	 5000  
n5439 	 0.0 		 0 	 5000  
n5440 	 0.002 		 2 	 5000  
n5441 	 0.464 		 243 	 5000  
n5442 	 0.499 		 0 	 5000  
n5443 	 0.496 		 1 	 5000  
n5444 	 0.496 		 0 	 5000  
n5445 	 0.024 		 22 	 5000  
n5446 	 0.014 		 14 	 5000  
n5447 	 0.935 		 12 	 5000  
n5448 	 0.531 		 62 	 5000  
n5449 	 0.871 		 64 	 5000  
n5450 	 0.022 		 20 	 5000  
n5451 	 0.014 		 14 	 5000  
n5452 	 0.765 		 103 	 5000  
n5453 	 0.929 		 18 	 5000  
n5454 	 0.184 		 138 	 5000  
n5455 	 0.004 		 4 	 5000  
n5456 	 0.809 		 120 	 5000  
n5457 	 0.927 		 18 	 5000  
n5458 	 0.923 		 24 	 5000  
n5459 	 0.014 		 14 	 5000  
n5460 	 0.008 		 8 	 5000  
n5461 	 0.937 		 10 	 5000  
n5462 	 0.941 		 6 	 5000  
n5463 	 0.939 		 8 	 5000  
n5464 	 0.01 		 10 	 5000  
n5465 	 0.0 		 0 	 5000  
n5466 	 0.943 		 4 	 5000  
n5467 	 0.002 		 2 	 5000  
n5468 	 0.004 		 4 	 5000  
n5469 	 0.933 		 14 	 5000  
n5470 	 0.935 		 12 	 5000  
n5471 	 0.024 		 22 	 5000  
n5472 	 0.028 		 28 	 5000  
n5473 	 0.002 		 2 	 5000  
n5474 	 0.01 		 10 	 5000  
n5475 	 0.941 		 6 	 5000  
n5476 	 0.941 		 6 	 5000  
n5477 	 0.941 		 6 	 5000  
n5478 	 0.943 		 4 	 5000  
n5479 	 0.943 		 4 	 5000  
n5480 	 0.002 		 2 	 5000  
n5481 	 0.004 		 4 	 5000  
n5482 	 0.939 		 8 	 5000  
n5483 	 0.939 		 8 	 5000  
n5484 	 0.01 		 10 	 5000  
n5485 	 0.012 		 7 	 5000  
n5486 	 0.939 		 3 	 5000  
n5487 	 0.945 		 2 	 5000  
n5488 	 0.947 		 0 	 5000  
n5489 	 0.004 		 4 	 5000  
n5490 	 0.945 		 2 	 5000  
n5491 	 0.0 		 0 	 5000  
n5492 	 0.006 		 6 	 5000  
n5493 	 0.002 		 2 	 5000  
n5494 	 0.002 		 2 	 5000  
n5495 	 0.006 		 6 	 5000  
n5496 	 0.943 		 4 	 5000  
n5497 	 0.945 		 2 	 5000  
n5498 	 0.016 		 14 	 5000  
n5499 	 0.014 		 14 	 5000  
n5500 	 0.945 		 2 	 5000  
n5501 	 0.937 		 8 	 5000  
n5502 	 0.006 		 6 	 5000  
n5503 	 0.002 		 2 	 5000  
n5504 	 0.006 		 6 	 5000  
n5505 	 0.0 		 0 	 5000  
n5506 	 0.943 		 4 	 5000  
n5507 	 0.943 		 4 	 5000  
n5508 	 0.006 		 6 	 5000  
n5509 	 0.941 		 6 	 5000  
n5510 	 0.068 		 60 	 5000  
n5511 	 0.929 		 18 	 5000  
n5512 	 0.935 		 12 	 5000  
n5513 	 0.02 		 20 	 5000  
n5514 	 0.01 		 10 	 5000  
n5515 	 0.002 		 2 	 5000  
n5516 	 0.002 		 2 	 5000  
n5517 	 0.943 		 4 	 5000  
n5518 	 0.945 		 2 	 5000  
n5519 	 0.945 		 2 	 5000  
n5520 	 0.006 		 6 	 5000  
n5521 	 0.004 		 4 	 5000  
n5522 	 0.092 		 84 	 5000  
n5523 	 0.01 		 10 	 5000  
n5524 	 0.935 		 12 	 5000  
n5525 	 0.905 		 40 	 5000  
n5526 	 0.006 		 6 	 5000  
n5527 	 0.234 		 163 	 5000  
n5528 	 0.02 		 20 	 5000  
n5529 	 0.935 		 12 	 5000  
